"initial_alias","converted_alias","name","description","namespace"
"25879","25879","DCAF13","DDB1 and CUL4 associated factor 13 [Source:HGNC Symbol;Acc:HGNC:24535]","ENTREZGENE_ACC"
"6856","6856","SYPL1","synaptophysin like 1 [Source:HGNC Symbol;Acc:HGNC:11507]","ENTREZGENE_ACC"
"146059","146059","CDAN1","codanin 1 [Source:HGNC Symbol;Acc:HGNC:1713]","ENTREZGENE_ACC"
"1849","1849","DUSP7","dual specificity phosphatase 7 [Source:HGNC Symbol;Acc:HGNC:3073]","ENTREZGENE_ACC"
"206358","206358","SLC36A1","solute carrier family 36 member 1 [Source:HGNC Symbol;Acc:HGNC:18761]","ENTREZGENE_ACC"
"56951","56951","C5orf15","chromosome 5 open reading frame 15 [Source:HGNC Symbol;Acc:HGNC:20656]","ENTREZGENE_ACC"
"222643","222643","UNC5CL","unc-5 family C-terminal like [Source:HGNC Symbol;Acc:HGNC:21203]","ENTREZGENE_ACC"
"5576","5576","PRKAR2A","protein kinase cAMP-dependent type II regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9391]","ENTREZGENE_ACC"
"55081","55081","IFT57","intraflagellar transport 57 [Source:HGNC Symbol;Acc:HGNC:17367]","ENTREZGENE_ACC"
"1026","1026","CDKN1A","cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]","ENTREZGENE_ACC"
"5064","5064","PALM","paralemmin [Source:HGNC Symbol;Acc:HGNC:8594]","ENTREZGENE_ACC"
"79447","79447","PAGR1","PAXIP1 associated glutamate rich protein 1 [Source:HGNC Symbol;Acc:HGNC:28707]","ENTREZGENE_ACC"
"23131","23131","GPATCH8","G-patch domain containing 8 [Source:HGNC Symbol;Acc:HGNC:29066]","ENTREZGENE_ACC"
"149371","149371","EXOC8","exocyst complex component 8 [Source:HGNC Symbol;Acc:HGNC:24659]","ENTREZGENE_ACC"
"3491","3491","CCN1","cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]","ENTREZGENE_ACC"
"92399","92399","MRRF","mitochondrial ribosome recycling factor [Source:HGNC Symbol;Acc:HGNC:7234]","ENTREZGENE_ACC"
"63891","63891","RNF123","ring finger protein 123 [Source:HGNC Symbol;Acc:HGNC:21148]","ENTREZGENE_ACC"
"3965","3965","LGALS9","galectin 9 [Source:HGNC Symbol;Acc:HGNC:6570]","ENTREZGENE_ACC"
"89927","89927","BMERB1","bMERB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19213]","ENTREZGENE_ACC"
"9126","9126","SMC3","structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:HGNC:2468]","ENTREZGENE_ACC"
"6390","6390","SDHB","succinate dehydrogenase complex iron sulfur subunit B [Source:HGNC Symbol;Acc:HGNC:10681]","ENTREZGENE_ACC"
"219988","219988","PATL1","PAT1 homolog 1, processing body mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:26721]","ENTREZGENE_ACC"
"55346","55346","TCP11L1","t-complex 11 like 1 [Source:HGNC Symbol;Acc:HGNC:25655]","ENTREZGENE_ACC"
"28958","28958","COA3","cytochrome c oxidase assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:24990]","ENTREZGENE_ACC"
"285753","285753","CEP57L1","centrosomal protein 57 like 1 [Source:HGNC Symbol;Acc:HGNC:21561]","ENTREZGENE_ACC"
"79042","79042","TSEN34","tRNA splicing endonuclease subunit 34 [Source:HGNC Symbol;Acc:HGNC:15506]","ENTREZGENE_ACC"
"9099","9099","USP2","ubiquitin specific peptidase 2 [Source:HGNC Symbol;Acc:HGNC:12618]","ENTREZGENE_ACC"
"90441","90441","ZNF622","zinc finger protein 622 [Source:HGNC Symbol;Acc:HGNC:30958]","ENTREZGENE_ACC"
"23780","23780","APOL2","apolipoprotein L2 [Source:HGNC Symbol;Acc:HGNC:619]","ENTREZGENE_ACC"
"3728","3728","JUP","junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]","ENTREZGENE_ACC"
"55620","55620","STAP2","signal transducing adaptor family member 2 [Source:HGNC Symbol;Acc:HGNC:30430]","ENTREZGENE_ACC"
"10269","10269","ZMPSTE24","zinc metallopeptidase STE24 [Source:HGNC Symbol;Acc:HGNC:12877]","ENTREZGENE_ACC"
"51231","51231","VRK3","VRK serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:18996]","ENTREZGENE_ACC"
"8939","8939","FUBP3","far upstream element binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4005]","ENTREZGENE_ACC"
"4240","4240","MFGE8","milk fat globule EGF and factor V/VIII domain containing [Source:HGNC Symbol;Acc:HGNC:7036]","ENTREZGENE_ACC"
"51022","51022","GLRX2","glutaredoxin 2 [Source:HGNC Symbol;Acc:HGNC:16065]","ENTREZGENE_ACC"
"9931","9931","HELZ","helicase with zinc finger [Source:HGNC Symbol;Acc:HGNC:16878]","ENTREZGENE_ACC"
"25813","25813","SAMM50","SAMM50 sorting and assembly machinery component [Source:HGNC Symbol;Acc:HGNC:24276]","ENTREZGENE_ACC"
"84836","84836","ABHD14B","abhydrolase domain containing 14B [Source:HGNC Symbol;Acc:HGNC:28235]","ENTREZGENE_ACC"
"5514","5514","PPP1R10","protein phosphatase 1 regulatory subunit 10 [Source:HGNC Symbol;Acc:HGNC:9284]","ENTREZGENE_ACC"
"10574","10574","CCT7","chaperonin containing TCP1 subunit 7 [Source:HGNC Symbol;Acc:HGNC:1622]","ENTREZGENE_ACC"
"64127","64127","NOD2","nucleotide binding oligomerization domain containing 2 [Source:HGNC Symbol;Acc:HGNC:5331]","ENTREZGENE_ACC"
"51236","51236","HGH1","HGH1 homolog [Source:HGNC Symbol;Acc:HGNC:24161]","ENTREZGENE_ACC"
"10581","10581","IFITM2","interferon induced transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:5413]","ENTREZGENE_ACC"
"8846","8846","ALKBH1","alkB homolog 1, histone H2A dioxygenase [Source:HGNC Symbol;Acc:HGNC:17911]","ENTREZGENE_ACC"
"54989","54989","ZNF770","zinc finger protein 770 [Source:HGNC Symbol;Acc:HGNC:26061]","ENTREZGENE_ACC"
"3880","3880","KRT19","keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]","ENTREZGENE_ACC"
"8613","8613","PLPP3","phospholipid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:9229]","ENTREZGENE_ACC"
"64210","64210","MMS19","MMS19 homolog, cytosolic iron-sulfur assembly component [Source:HGNC Symbol;Acc:HGNC:13824]","ENTREZGENE_ACC"
"6741","6741","SSB","small RNA binding exonuclease protection factor La [Source:HGNC Symbol;Acc:HGNC:11316]","ENTREZGENE_ACC"
"56935","56935","SMCO4","single-pass membrane protein with coiled-coil domains 4 [Source:HGNC Symbol;Acc:HGNC:24810]","ENTREZGENE_ACC"
"9479","9479","MAPK8IP1","mitogen-activated protein kinase 8 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:6882]","ENTREZGENE_ACC"
"646817","646817","SETSIP","SET like protein [Source:HGNC Symbol;Acc:HGNC:42937]","ENTREZGENE_ACC"
"27352","27352","SGSM3","small G protein signaling modulator 3 [Source:HGNC Symbol;Acc:HGNC:25228]","ENTREZGENE_ACC"
"55604","55604","CARMIL1","capping protein regulator and myosin 1 linker 1 [Source:HGNC Symbol;Acc:HGNC:21581]","ENTREZGENE_ACC"
"156","156","GRK2","G protein-coupled receptor kinase 2 [Source:HGNC Symbol;Acc:HGNC:289]","ENTREZGENE_ACC"
"23217","23217","ZFR2","zinc finger RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:29189]","ENTREZGENE_ACC"
"5073","5073","PARN","poly(A)-specific ribonuclease [Source:HGNC Symbol;Acc:HGNC:8609]","ENTREZGENE_ACC"
"51079","51079","NDUFA13","NADH:ubiquinone oxidoreductase subunit A13 [Source:HGNC Symbol;Acc:HGNC:17194]","ENTREZGENE_ACC"
"51642","51642","MRPL48","mitochondrial ribosomal protein L48 [Source:HGNC Symbol;Acc:HGNC:16653]","ENTREZGENE_ACC"
"84681","84681","HINT2","histidine triad nucleotide binding protein 2 [Source:HGNC Symbol;Acc:HGNC:18344]","ENTREZGENE_ACC"
"5792","5792","PTPRF","protein tyrosine phosphatase receptor type F [Source:HGNC Symbol;Acc:HGNC:9670]","ENTREZGENE_ACC"
"64222","64222","TOR3A","torsin family 3 member A [Source:HGNC Symbol;Acc:HGNC:11997]","ENTREZGENE_ACC"
"10210","10210","TOPORS","TOP1 binding arginine/serine rich protein, E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:21653]","ENTREZGENE_ACC"
"89796","89796","NAV1","neuron navigator 1 [Source:HGNC Symbol;Acc:HGNC:15989]","ENTREZGENE_ACC"
"2107","2107","ETF1","eukaryotic translation termination factor 1 [Source:HGNC Symbol;Acc:HGNC:3477]","ENTREZGENE_ACC"
"23032","23032","USP33","ubiquitin specific peptidase 33 [Source:HGNC Symbol;Acc:HGNC:20059]","ENTREZGENE_ACC"
"55238","55238","SLC38A7","solute carrier family 38 member 7 [Source:HGNC Symbol;Acc:HGNC:25582]","ENTREZGENE_ACC"
"6139","6139","RPL17","ribosomal protein L17 [Source:HGNC Symbol;Acc:HGNC:10307]","ENTREZGENE_ACC"
"80017","80017","DGLUCY","D-glutamate cyclase [Source:HGNC Symbol;Acc:HGNC:20498]","ENTREZGENE_ACC"
"4833","4833","NME4","NME/NM23 nucleoside diphosphate kinase 4 [Source:HGNC Symbol;Acc:HGNC:7852]","ENTREZGENE_ACC"
"51174","51174","TUBD1","tubulin delta 1 [Source:HGNC Symbol;Acc:HGNC:16811]","ENTREZGENE_ACC"
"27253","27253","PCDH17","protocadherin 17 [Source:HGNC Symbol;Acc:HGNC:14267]","ENTREZGENE_ACC"
"85360","85360","SYDE1","synapse defective Rho GTPase homolog 1 [Source:HGNC Symbol;Acc:HGNC:25824]","ENTREZGENE_ACC"
"10514","10514","MYBBP1A","MYB binding protein 1a [Source:HGNC Symbol;Acc:HGNC:7546]","ENTREZGENE_ACC"
"83605","83605","CCM2","CCM2 scaffold protein [Source:HGNC Symbol;Acc:HGNC:21708]","ENTREZGENE_ACC"
"79174","79174","CRELD2","cysteine rich with EGF like domains 2 [Source:HGNC Symbol;Acc:HGNC:28150]","ENTREZGENE_ACC"
"55676","55676","SLC30A6","solute carrier family 30 member 6 [Source:HGNC Symbol;Acc:HGNC:19305]","ENTREZGENE_ACC"
"23163","23163","GGA3","golgi associated, gamma adaptin ear containing, ARF binding protein 3 [Source:HGNC Symbol;Acc:HGNC:17079]","ENTREZGENE_ACC"
"7417","7417","VDAC2","voltage dependent anion channel 2 [Source:HGNC Symbol;Acc:HGNC:12672]","ENTREZGENE_ACC"
"51588","51588","PIAS4","protein inhibitor of activated STAT 4 [Source:HGNC Symbol;Acc:HGNC:17002]","ENTREZGENE_ACC"
"5872","5872","RAB13","RAB13, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9762]","ENTREZGENE_ACC"
"6745","6745","SSR1","signal sequence receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:11323]","ENTREZGENE_ACC"
"51752","51752","ERAP1","endoplasmic reticulum aminopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:18173]","ENTREZGENE_ACC"
"8667","8667","EIF3H","eukaryotic translation initiation factor 3 subunit H [Source:HGNC Symbol;Acc:HGNC:3273]","ENTREZGENE_ACC"
"55703","55703","POLR3B","RNA polymerase III subunit B [Source:HGNC Symbol;Acc:HGNC:30348]","ENTREZGENE_ACC"
"6191","6191","RPS4X","ribosomal protein S4 X-linked [Source:HGNC Symbol;Acc:HGNC:10424]","ENTREZGENE_ACC"
"23157","23157","SEPTIN6","septin 6 [Source:HGNC Symbol;Acc:HGNC:15848]","ENTREZGENE_ACC"
"140459","140459","ASB6","ankyrin repeat and SOCS box containing 6 [Source:HGNC Symbol;Acc:HGNC:17181]","ENTREZGENE_ACC"
"63877","63877","FAM204A","family with sequence similarity 204 member A [Source:HGNC Symbol;Acc:HGNC:25794]","ENTREZGENE_ACC"
"6595","6595","SMARCA2","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2 [Source:HGNC Symbol;Acc:HGNC:11098]","ENTREZGENE_ACC"
"9652","9652","TTC37","tetratricopeptide repeat domain 37 [Source:HGNC Symbol;Acc:HGNC:23639]","ENTREZGENE_ACC"
"100188893","100188893","TOMM6","translocase of outer mitochondrial membrane 6 [Source:HGNC Symbol;Acc:HGNC:34528]","ENTREZGENE_ACC"
"26048","26048","ZNF500","zinc finger protein 500 [Source:HGNC Symbol;Acc:HGNC:23716]","ENTREZGENE_ACC"
"22913","22913","RALY","RALY heterogeneous nuclear ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15921]","ENTREZGENE_ACC"
"27102","27102","EIF2AK1","eukaryotic translation initiation factor 2 alpha kinase 1 [Source:HGNC Symbol;Acc:HGNC:24921]","ENTREZGENE_ACC"
"55347","55347","ABHD10","abhydrolase domain containing 10, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:25656]","ENTREZGENE_ACC"
